,eyebrow,eye,nose,forehead
304,0.32576609,0.186938282,0.034639421,0.15032459
305,0.334002856,0.182125259,0.035743533,0.133107385
306,0.327592277,0.184344243,0.040527487,0.14073495
307,0.322024574,0.185169724,0.037842297,0.147207613
308,0.308368362,0.182703513,0.033048778,0.144707316
309,0.322601409,0.183465116,0.041347856,0.157828306
310,0.326290654,0.195872084,0.039384104,0.152769199
311,0.330940155,0.184384436,0.035024311,0.14178516
312,0.318460527,0.186502439,0.036358906,0.12742737
313,0.329706043,0.184657402,0.032912874,0.14632273
314,0.330291467,0.184792833,0.037299522,0.138862945
315,0.328296424,0.183240439,0.033309167,0.157831892
316,0.351980307,0.196637498,0.038291542,0.14540904
317,0.343574878,0.196572114,0.035851703,0.150826322
318,0.3267877,0.187633617,0.041082816,0.14118404
319,0.337348731,0.187961516,0.041925424,0.153696336
320,0.353158069,0.188110973,0.034405642,0.143890658
321,0.319938974,0.176401276,0.03199093,0.142969256
322,0.321788505,0.181307548,0.034617114,0.136697755
323,0.332633243,0.181387721,0.031703421,0.134324734
325,0.325698966,0.190786804,0.03187344,0.14517753
326,0.326812668,0.182185155,0.031627279,0.140589852
327,0.324054358,0.184129065,0.037979686,0.148549483
328,0.336632971,0.182360764,0.037928824,0.144056126
329,0.331207629,0.185197025,0.036459168,0.153812521
330,0.32076765,0.182137114,0.031420708,0.134831726
331,0.323254846,0.189323753,0.029658403,0.137376063
332,0.328055567,0.180600403,0.037381669,0.139683713
333,0.32304885,0.173600556,0.034485343,0.138943693
334,0.318400658,0.183886173,0.037041966,0.152866715
335,0.313258172,0.180398745,0.031306909,0.143441169
336,0.3282452,0.190159561,0.03748452,0.150670139
337,0.321919873,0.183363948,0.034848034,0.146286962
338,0.326345098,0.180970869,0.031123158,0.144235528
340,0.33812936,0.188144903,0.039043482,0.154754588
341,0.327062852,0.181794539,0.038717849,0.155382934
342,0.323639906,0.186874829,0.034804354,0.154681735
343,0.326664846,0.190003828,0.031231407,0.131932265
344,0.328079222,0.177844405,0.029392313,0.125467194
345,0.329970888,0.189108989,0.034223708,0.139810432
346,0.338177199,0.188943287,0.036681108,0.150339042
347,0.327968751,0.181575815,0.030822216,0.13408883
348,0.328823688,0.183650118,0.036939686,0.134229576
350,0.327719832,0.193274517,0.035308889,0.142799121
351,0.319573564,0.182770563,0.040178944,0.140784993
352,0.329336888,0.183018139,0.039157382,0.161677573
353,0.337397058,0.188724395,0.04002329,0.154146029
354,0.328649821,0.183021227,0.031063771,0.141675713
355,0.332302246,0.182629417,0.033913572,0.139786573
356,0.323561483,0.189334132,0.03513097,0.149606252
357,0.325102629,0.181115735,0.032396736,0.140149054
358,0.331644897,0.18387883,0.035725788,0.142514064
359,0.326014866,0.183656695,0.033387314,0.151134384
361,0.343246169,0.186077941,0.035154644,0.144709106
362,0.338321446,0.17645538,0.033178329,0.1476783
363,0.332625414,0.187805682,0.036951661,0.147282724
