,eyebrow,eye,nose,forehead,,,eyebrow_rich,eyebrow_normal,eye_rich,eye_normal,nose_rich,nose_normal,forehead_rich,forehead_normal
192,0.319036878,0.177980213,0.034706353,0.117330946,,,,,,,,,,
193,0.33100752,0.173845397,0.034904398,0.120646294,,,,,,,,,,
194,0.345070525,0.161914925,0.03195354,0.125592951,,,,,,,,,,
195,0.327158613,0.168966309,0.035852419,0.113207479,,,,,,,,,,
196,0.33299578,0.186841038,0.030554457,0.124134109,,,,,,,,,,
197,0.358693278,0.175533999,0.03166805,0.111511451,,,,,,,,,,
198,0.317635946,0.169467185,0.038092531,0.136618654,,,,,,,,,,
199,0.310634739,0.169389238,0.033099183,0.12123593,,,,,,,,,,
200,0.32690665,0.168517812,0.03276534,0.131962678,,,,,,,,,,
201,0.328629339,0.173343008,0.033844031,0.137794438,,,,,,,,,,
202,0.333242347,0.179563711,0.037843723,0.123346689,,,,,,,,,,
203,0.308214751,0.169230622,0.031494651,0.122861592,,,,,,,,,,
204,0.346288414,0.166939667,0.041217089,0.127947773,,,,,,,,,,
205,0.331750301,0.166666667,0.029153662,0.131002985,,,,,,,,,,
206,0.34524631,0.173609332,0.040391808,0.134285204,,,,,,,,,,
207,0.332836263,0.172492436,0.031781089,0.121578753,,,,,,,,,,
208,0.349500542,0.174227622,0.036641364,0.126186202,,,,,,,,,,
210,0.34209649,0.180804818,0.038996605,0.128213075,,,,,,,,,,
211,0.333428979,0.171260864,0.030594112,0.119371391,,,,,,,,,,
212,0.322456338,0.177482562,0.039492177,0.113368317,,,,,,,,,,
213,0.325720723,0.17697094,0.028494136,0.116866975,,,,,,,,,,
214,0.34437589,0.162709127,0.033848346,0.116435269,,,,,,,,,,
216,0.336224831,0.178025024,0.034380663,0.116411259,,,,,,,,,,
217,0.334079658,0.178487644,0.033631299,0.120690857,,,,,,,,,,
218,0.3177911,0.178119142,0.036122199,0.119915817,,,,,,,,,,
219,0.338850031,0.170284912,0.039163954,0.12247183,,,,,,,,,,
